index,sample_id,possible_answers,query_type,query,answer,image_name
201370395,201370395,The scissors are gray.,10q-scissors_color,Of what color are the scissors?,gray,n351318.jpg
20672944,20672944,The toilet brush is on the left of the image.,10q-toilet brush_hposition,On which side of the photo is the toilet brush?,left,n59147.jpg
201752690,201752690,The boy is on the bike.,"14-boy_on,o",What is the boy on?,bike,n262929.jpg
20672940,20672940,"No, there are no containers or dream catchers.",09existOr-container_dream catcher,Do you see either any containers or dream catchers?,no,n59147.jpg
201752694,201752694,"Yes, the boy is on the bike.",13-boy_bike,Is the young person on the bike?,yes,n262929.jpg
20699275,20699275,The clothing item is a jacket.,12q-clothing_navy,What is the name of the clothing item that is navy?,jacket,n512257.jpg
2097681,2097681,The monitor is in front of the poster.,"14-poster_in front of,s",What is in front of the poster?,monitor,n513429.jpg
201760591,201760591,"No, there is a soccer ball but no girls.",09existAnd-girl_soccer ball,Are there both girls and soccer balls in this image?,no,n350732.jpg
201110526,201110526,The food is a marshmallow.,"15-baby_to the left of,s",What kind of food is to the left of the baby?,marshmallow,n546616.jpg
20673100,20673100,The toilet paper is resting on the chair.,"15-toilet paper_resting on,o",What item of furniture is the toilet paper to the right of the toilet resting on?,chair,n59147.jpg
20673098,20673098,The toilet paper is resting on the chair.,"14-toilet paper_resting on,o",The toilet paper to the right of the toilet is resting on what?,chair,n59147.jpg
20361249,20361249,"No, there is a snowboarder but she is standing.",04-snowboarder_jumping,Are there either any skateboarders or snowboarders that are jumping?,no,n352479.jpg
201480696,201480696,The bench is rectangular.,10q-bench_shape,What shape is the bench?,rectangular,n39114.jpg
201879167,201879167,The person is bigger than the sneakers.,"14-person_bigger than,o",What is the person below the crowd bigger than?,sneakers,n496803.jpg
201438759,201438759,"Yes, the field is large and dirty.",05-dirty_large,Does the brown field appear to be large and dirty?,yes,n66756.jpg
20295598,20295598,"Yes, the picture frame is black and small.",05-black_small,Does the picture frame made of plastic look black and small?,yes,n162586.jpg
20204868,20204868,"No, there is a laptop but it is black.",04-laptop_silver,Is there a silver laptop or DVD player?,no,n532191.jpg
20361243,20361243,The snowboarder is standing.,standing,Who is standing?,snowboarder,n352479.jpg
20667494,20667494,The piece of furniture is a coffee table.,12q-furniture_wood,What piece of furniture is made of wood?,coffee table,n181355.jpg
20667492,20667492,The piece of furniture is a coffee table.,12q-furniture_wood,What piece of furniture is wooden?,coffee table,n181355.jpg
20667493,20667493,The piece of furniture is a coffee table.,12q-furniture_wood,How the piece of furniture that is made of wood is called?,coffee table,n181355.jpg
201056254,201056254,The spectator is looking up.,looking up,Who is looking up?,spectator,n259002.jpg
201064816,201064816,The furniture is a sofa.,12q-furniture_blue,Which kind of furniture is blue?,sofa,n88933.jpg
2097684,2097684,The monitor is in front of the poster.,"14-monitor_in front of,o",What is that monitor in front of?,poster,n513429.jpg
201064812,201064812,This is a sofa.,11c-furniture,"What type of furniture is this, a cabinet or a sofa?",sofa,n88933.jpg
201056252,201056252,The spectator is looking up.,10q-spectator_activity,What do you think is that spectator doing?,looking up,n259002.jpg
201064810,201064810,The piece of furniture is a sofa.,11q-furniture,What piece of furniture is it?,sofa,n88933.jpg
201935799,201935799,The jar is sitting on top of the shelf.,"14-jar_sitting on top of,o",What is the container made of glass sitting on top of?,shelf,n500209.jpg
20756897,20756897,The clothing item is a robe.,12q-clothing_smooth,What is the name of the smooth piece of clothing?,robe,n433532.jpg
201065430,201065430,The chairs are on the right of the image.,10q-chairs_hposition,On which side of the photo are the chairs?,right,n429883.jpg
202243368,202243368,The shirt is white.,10q-shirt_color,What color is the shirt the woman wears?,white,n557666.jpg
202121334,202121334,"Yes, both the soap bottle and the clock are white.",09same-clock_soap bottle,Do the soap bottle and the clock have the same color?,yes,n140421.jpg
201935797,201935797,The jar is sitting on top of the shelf.,"14-shelf_sitting on top of,s",What is sitting on top of the shelf?,jar,n500209.jpg
201639189,201639189,"No, the vehicle is white.",06-vehicle_black,Does the vehicle behind the zebras look black?,no,n497789.jpg
20741279,20741279,The person is tall.,10q-person_height,How tall do you think is the person?,tall,n23762.jpg
201143145,201143145,The floor is dark brown.,10q-floor_color,The wood floor is what color?,dark brown,n276011.jpg
201669504,201669504,"Yes, the cookies are on the right of the image.",06-cookies_right,Are the brown cookies on the right of the picture?,yes,n238266.jpg
201763810,201763810,"No, there are no curtains or televisions.",09existOr-curtain_television,Are there any televisions or curtains in the picture?,no,n246334.jpg
202119900,202119900,The appliance is a refrigerator.,"15-wall_in front of,s",What appliance is in front of the wall?,refrigerator,n500308.jpg
202119903,202119903,"Yes, there is a refrigerator in front of the wall.",13-wall_refrigerator,Is there a refrigerator in front of the wall made of wood?,yes,n500308.jpg
20340771,20340771,The piece of furniture is a chair.,"15-fence_in front of,s",What is the name of the piece of furniture in front of the fence?,chair,n513100.jpg
20340770,20340770,The chair is in front of the fence.,"14-fence_in front of,s",What's in front of the fence?,chair,n513100.jpg
20285405,20285405,The walls are clean.,10q-walls_cleanliness,How clean are the walls the window is on?,clean,n192021.jpg
20340772,20340772,The piece of furniture is a chair.,"15-fence_in front of,s",Which kind of furniture is in front of the fence?,chair,n513100.jpg
201593445,201593445,The cow is standing against the grass.,"14-grass_standing against,s",What animal is standing against the grass?,cow,n524855.jpg
201347404,201347404,The skateboarder is wearing shorts.,"14-shorts_wearing,s",Who is wearing shorts?,skateboarder,n65202.jpg
202100755,202100755,"Yes, the mugs are to the right of the utensils.",13-mugs_utensils,Are the mugs to the right of the plastic utensils?,yes,n280089.jpg
201462473,201462473,The catcher is on the left of the image.,10q-catcher_hposition,On which side of the photo is the catcher?,left,n508641.jpg
201887286,201887286,The broccoli is in the basket.,"14-basket_in,s",What is in the basket?,broccoli,n429961.jpg
20518589,20518589,The sink is on the counter top.,"14-sink_on,o",What is the sink on?,countertop,n141939.jpg
201590142,201590142,"Yes, the player is to the right of the frisbee.",13-player_frisbee,Is the player to the right of the frisbee that looks white?,yes,n260762.jpg
20341130,20341130,"No, there is a sculpture in front of the tree.",13-tree_fence,Do you see a fence in front of the tree that is in front of the school?,no,n346247.jpg
201795286,201795286,"Yes, the baskets are colorful.",06-baskets_colorful,Do the baskets that are not empty look colorful?,yes,n119944.jpg
201832545,201832545,"No, there is a bed but it is dark brown.",04-bed_n#dark brown,Is there any bed or table that is not dark brown?,no,n432591.jpg
202082102,202082102,The device is a laptop.,"15-lamp_to the left of,s",Which kind of device is to the left of the lamp?,laptop,n433692.jpg
20645704,20645704,"No, the heater is white but small.",05-large_white,Does the heater next to the toilet look white and large?,no,n98544.jpg
201795848,201795848,"No, the man is standing.",06-man_sitting,Does the man appear to be sitting?,no,n119944.jpg
201879789,201879789,The bike is large.,10q-bike_size,How large is the bike below the sky?,large,n466319.jpg
201143364,201143364,The flowers are on top of the table.,"14-table_on top of,s",What is located on top of the table?,flowers,n276011.jpg
20827171,20827171,"No, the side table is wooden but short.",05-long_wood,Does the side table that is not big look wooden and long?,no,n283587.jpg
20940166,20940166,"No, the sink is square.",06-sink_round,Does the porcelain sink have round shape?,no,n240666.jpg
201859351,201859351,The lid is made of plastic.,10q-lid_material,What is the lid made of?,plastic,n546884.jpg
201595841,201595841,"Yes, the man is sitting on a bench.",13-man_bench,Is the person near the grass sitting on a bench?,yes,n302358.jpg
20923252,20923252,The ambulance is parked alongside the barn.,"14-barn_parked alongside,s",What is parked alongside the barn?,ambulance,n480253.jpg
202243438,202243438,The vehicle is a truck.,12q-vehicle_metal,Which kind of vehicle is metallic?,truck,n557666.jpg
20923257,20923257,"Yes, the ambulance is parked alongside the barn.",13-ambulance_barn,Is the ambulance that is to the left of the workers parked alongside the barn?,yes,n480253.jpg
20923256,20923256,The vehicle is an ambulance.,"15-barn_parked alongside,s",What vehicle is parked alongside the barn?,ambulance,n480253.jpg
201976414,201976414,"No, the flags are triangular but white.",05-red_triangular,Are the flags triangular and red?,no,n279173.jpg
20865499,20865499,"No, the calf is brown but small.",05-brown_large,Does the calf have brown color and large size?,no,n143935.jpg
20600137,20600137,The grass is beneath the zebras.,"14-zebras_beneath,s",What is beneath the zebras the rock sits beside?,grass,n196058.jpg
20600132,20600132,The grass is beneath the zebra.,"14-zebra_beneath,s",What is beneath the zebra that is not large?,grass,n196058.jpg
20836758,20836758,"Yes, the purse is small.",06-purse_small,Does the blue bag look small?,yes,n507959.jpg
20632010,20632010,"Yes, the baseball mitt is bright.",06-baseball mitt_bright,Is the baseball mitt bright?,yes,n570181.jpg
201640606,201640606,The women are wearing a watch.,"14-watch_wearing,s",Who is wearing the watch?,women,n235859.jpg
201640605,201640605,The women are wearing a watch.,"14-watch_wearing,s",Who is wearing a watch?,women,n235859.jpg
201640602,201640602,The women are sitting at the restaurant.,"14-women_sitting at,o",Where are the people to the left of the bulb sitting?,restaurant,n235859.jpg
20306515,20306515,The device is a cell phone.,"15-man_holding,o",What is the name of the device that the young man near the gift is holding?,cell phone,n554880.jpg
202228132,202228132,The device is a speaker.,12q-device_n#illuminated,Which kind of device isn't illuminated?,speaker,n77818.jpg
20692296,20692296,The books are resting on the counter.,"14-counter_resting on,s",What is resting on the marble counter?,books,n499081.jpg
20692294,20692294,The books are to the left of the cabinet.,13-cabinet_books,Are the books to the left or to the right of the wood cabinet?,left,n499081.jpg
20710151,20710151,"No, the sky is above a parent.",13-sky_train,Is the sky above a train?,no,n489699.jpg
202262373,202262373,"No, the mug is small but white.",05-green_small,Is the mug in front of the cup green and small?,no,n28572.jpg
20679393,20679393,"No, there are no seals or bunnies.",09existOr-bunny_seals,Are there any seals or bunnies in the picture?,no,n493357.jpg
20710154,20710154,"No, the sky is above a child.",13-sky_airplane,Is the sky above an airplane?,no,n489699.jpg
202243431,202243431,The vehicle is a truck.,12q-vehicle_large,What is the large vehicle?,truck,n557666.jpg
201556498,201556498,The piece of furniture is a shelf.,12q-furniture_n#small,What is the piece of furniture that is not small called?,shelf,n525901.jpg
201556499,201556499,The furniture is a shelf.,12q-furniture_n#small,What kind of furniture isn't small?,shelf,n525901.jpg
20177490,20177490,"No, there are no forks.",03-fork,Do you see any forks?,no,n55058.jpg
20711540,20711540,The toy is a stuffed bear.,12q-toy_soft,Which kind of toy is soft?,stuffed bear,n549922.jpg
20899315,20899315,The bottle is made of plastic.,10q-bottle_material,What's the bottle made of?,plastic,n403734.jpg
20711545,20711545,The toy is a stuffed bear.,12q-toy_colorful,What is the colorful toy in the picture?,stuffed bear,n549922.jpg
201624174,201624174,The pizza is on the pan.,"14-pan_on,s",What is on the pan?,pizza,n59676.jpg
201997192,201997192,"Yes, the chair is large.",06-chair_large,Does the chair look large?,yes,n250715.jpg
